 453 する	を
 203 する	に
 164 する	と
 117 する	が
  88 する	て を
  73 する	は
  61 する	を に
  61 する	て
  57 する	に を
  54 する	が を
  50 する	から
  50 する	で を
  45 する	と を
  44 する	で
  43 する	も
  40 する	の
  33 する	は を
  32 する	から を
  26 する	と が
  24 する	は に
  23 する	が に
  21 する	と は
  21 する	て に
  19 する	と は を
  18 する	から に
  17 する	は と
  13 する	か
  12 する	に に
  12 する	に が
  12 する	て と
  12 する	ば
  10 する	は て を
  10 する	と に
  10 する	で に
   9 する	まで
   9 する	と は に
   9 する	と が を
   9 する	を と
   9 する	は て
   9 する	と で
   8 する	でも
   8 する	て を に
   8 する	も に
   8 する	は も
   8 する	と も
   8 する	で が
   7 する	さえ
   7 する	に を に
   7 する	が に を
   7 する	が と
   7 する	へ
   6 する	として
   6 する	くらい
   6 する	まで を
   6 する	と に を
   6 する	を が
   6 する	も を
   6 する	も が
   6 する	て て
   5 する	をもって
   5 する	なんか
   5 する	で に を
   5 する	で が を
   5 する	て に を
   5 する	が を に
   5 する	が で を
   5 する	ば を
   5 する	は が
   5 する	て が
   4 する	だって
   4 する	から と を
   4 する	でも を
   4 する	って を
   4 する	から も
   4 する	だけ
   4 する	が から に
   4 する	を から
   4 する	も から
   4 する	は から
   4 する	が から
   4 する	と は に を
   4 する	も を に
   4 する	は に を
   4 する	は と を
   4 する	は て に
   4 する	に が を
   4 する	と も を
   4 する	へ を
   4 する	ね を
   4 する	と と
   4 する	て も
   4 する	て の
   4 する	が も
   4 する	が へ
   4 する	が は
   3 する	において
   3 する	ながら
   3 する	じゃ は に
   3 する	から て を
   3 する	んで を
   3 する	たり を
   3 する	から が
   3 する	ので
   3 する	じゃ
   3 する	に について
   3 する	は ながら を
   3 する	は を に
   3 する	は も を
   3 する	は て と
   3 する	と は で
   3 する	と と が
   3 する	と て を
   3 する	と が に
   3 する	て は が
   3 する	て と を
   3 する	て て を
   3 する	が と を
   3 する	が て を
   3 する	も は
   3 する	も と
   3 する	は は
   3 する	に て
   3 する	と て
   3 する	で と
   3 する	て へ
   3 する	が で
   3 する	か を
   3 する	か に
   2 する	において を
   2 する	ばかり に
   2 する	ながら を
   2 する	だって を
   2 する	だって に
   2 する	ばかり
   2 する	から て から を
   2 する	から て で を
   2 する	から は を
   2 する	から て に
   2 する	から が を
   2 する	より を
   2 する	のに で
   2 する	って に
   2 する	じゃ を
   2 する	から へ
   2 する	から は
   2 する	から と
   2 する	から で
   2 する	から て
   2 する	ほど
   2 する	とも
   2 する	って
   2 する	が として
   2 する	で から を
   2 する	に でも
   2 する	て から
   2 する	が さえ
   2 する	は は は と
   2 する	と も は に
   2 する	と は で を
   2 する	て が を に
   2 する	が に を に
   2 する	を に に
   2 する	ば は と
   2 する	は を と
   2 する	は も に
   2 する	は が に
   2 する	に は を
   2 する	に と を
   2 する	に が に
   2 する	と を に
   2 する	と で に
   2 する	と て に
   2 する	で を に
   2 する	で が に
   2 する	て へ を
   2 する	て に と
   2 する	て に が
   2 する	て で を
